"","ID_W","idind","ID_I","origsm","OCCUP08","diplom","H5","H6","age","J1_1_1","J1_1_2","J1_1_3","J1_1_6","J1_1_7","J1_1_9","J2COD08","J6_1","J6_2","J10","J13","J13_1","J21B","J21_1_1","J21_1_2","J21_1_3","J21_1_4","J21_1_5","J21_1_6","J21_1_7","J21_1_8","J21_1_9","J211_10","J211_12","J211_11","J21_3","J23","J24","J25","J26","J60","J66_1","J72_17","J73","J79_1_5","J791_11"
"16224",28,5120,77004405,1,NA,2,2,1942,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11800,2,NA,1,NA,NA
"16225",5,5122,7801001,1,NA,1,1,1932,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105000,NA,NA,1,NA,NA
"16226",6,5122,78001001,1,9,1,1,1932,63,NA,NA,NA,NA,NA,NA,9212,10,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,0,NA,7,1,NA,NA
"16227",7,5122,78001001,1,NA,1,1,1932,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,7,1,NA,NA
"16228",8,5122,78001001,1,NA,2,1,1932,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370,NA,2,1,NA,NA
"16229",9,5122,78001001,1,NA,2,1,1932,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550,3,2,1,NA,NA
"16230",10,5122,78001001,1,NA,2,1,1932,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1469,3,2,1,NA,NA
"16231",11,5122,78001001,1,NA,2,1,1930,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200,2,2,1,NA,NA
"16232",12,5122,78001001,1,NA,1,1,1932,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1250,2,2,1,NA,NA
"16233",13,5122,78001001,1,NA,1,1,1932,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700,3,2,1,NA,NA
"16234",14,5122,78001001,1,NA,1,1,1932,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2160,2,2,1,NA,NA
